Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
1-1	1	1	1	Live	L	F	1572.629	475.296	466.866
1-10	10	1	1	Live	U	F	1404.347	432.361	409.268
1-12	12	1	1	Live	R	F	1719.919	515.774	511.525
1-14	14	1	1	Live	L	F	1667.819	508.186	499.433
1-16	16	1	1	Live	L	F	1595.909	496.636	486.687
1-16	16	1	1	Live	L	F	1647.081	521.397	442.39
1-2	2	1	1	Live	L	F	1635.569	484.82	480.126
1-2	2	1	1	Live	L	F	1676.467	511.249	474.743
1-29	29	1	1	Live	R	F	1680.209	490.072	496.252
1-3	3	1	1	Live	R	F	1651.689	503.099	529.795
1-4	4	1	1	Live	L	F	1555.508	512.424	434.962
1-5	5	1	1	Live	L	F	1662.119	517.403	494.256
1-7	7	1	1	Live	L	F	1536.413	450.373	434.596
1-7	7	1	1	Live	L	F	1611.202	466.501	452.686
10-10	10	10	10	Cups	L	F	1476.575	508.053	457.706
10-15	15	10	10	Cups	R	F	1362.089	413.652	405.523
10-16	16	10	10	Cups	R	F	1547.27	466.936	437.003
10-17	17	10	10	Cups	R	F	1446.812	446.666	666.535
10-18	18	10	10	Cups	R	F	1518.722	452.251	509.706
10-19	19	10	10	Cups	L	F	1475.031	448.057	461.791
10-20	20	10	10	Cups	L	F	1686.705	515.842	509.715
10-24	24	10	10	Cups	L	F	1454.791	456.346	417.3
10-29	29	10	10	Cups	U	F	1425.413	449.298	444.535
10-30	30	10	10	Dishes	R	F	1433.947	432.983	429.005
10-31	31	10	10	Cups	L	F	1337.985	419.328	427.663
10-32	32	10	10	Dishes	R	F	1484.04	440.271	445.755
10-33	33	10	10	Cups	R	F	1558.023	491.899	464.014
10-35	35	10	10	Cups	L	F	1461.459	416.918	348.62
10-36	36	10	10	Cups	L	F	1467.102	433.174	458.341
10-36	36	10	10	Cups	R	F	1365.565	430.535	376.551
10-37	37	10	10	Cups	L	F	1543.492	471.462	444.826
10-38	38	10	10	Cups	U	F	1710.113	535.825	543.262
10-40	40	10	10	Cups	L	F	1835.757	510.905	516.348
10-40	40	10	10	Cups	L	F	1760.973	502.848	491.856
10-41	41	10	10	Cups	L	F	1527.09	459.83	457.829
10-42	42	10	10	Cups	L	F	1495.125	456.028	406.967
10-42	42	10	10	Dishes	L	F	1473.007	409.813	408.489
10-45	45	10	10	Cups	R	F	1190.699	373.006	367.732
10-46	46	10	10	Cups	L	F	1595.358	452.957	450.982
10-47	47	10	10	Cups	R	F	1563.341	468.273	459.581
10-47	47	10	10	Dishes	R	F	1579.355	488.875	467.349
10-50	50	10	10	Cups	L	F	1625.607	514.321	400.121
10-50	50	10	10	Dishes	R	F	1662.055	488.731	476.184
10-51	51	10	10	Dishes	R	F	1435.735	425.449	448.614
10-52	52	10	10	Cups	U	F	1600.833	470.103	470.138
10-53	53	10	10	Dishes	R	F	1675.28	486.292	490.153
10-54	54	10	10	Cups	L	F		442.917	391.978
10-54	54	10	10	Cups	L	F		492.231	483.929
10-54	54	10	10	Dishes	R	F	1586.001	468.842	469.926
10-57	57	10	10	Cups	R	F	1671.327	508.986	502.092
10-58	58	10	10	Dishes	R	F	1530.945	453.454	447.762
11-18	18	11	11	Tub	R	F	1600.75	472.57	465.86
11-19	19	11	11	Tub	U	F	1396.44	407.74	412.52
11-19	19	11	11	Tub	U	F	1406.63	411.71	
11-20	20	11	11	Tub	R	F	1620.03	512.3	485.2
11-23	23	11	11	Dish	R	F	1342.51	389.43	372.16
11-23	23	11	11	Tub	R	F	1480.13	458.77	445.6
11-23	23	11	11	Tub	U	F	1580.64	506.3	530.36
11-23	23	11	11	Tub	U	F	1595.28	449.8	492.85
11-26	26	11	11	Tub	R	F	1595.94		
11-27	27	11	11	Tub	U	F	1573.64	470.31	459.04
11-27	27	11	11	Tub	U	F	1573.12	477.59	468.99
11-29	29	11	11	Tub	L	F	1432.42	424.69	413.74
11-30	30	11	11	Tub	U	F	1292.88	377.7	329.58
11-30	30	11	11	Tub	U	F		385.12	356.44
11-31	31	11	11	Tub	L	F	1638.76	499.53	501.76
11-33	33	11	11	Dish	R	F	1524.31	431.24	457.48
11-35	35	11	11	Tub	R	F	1771.34	547.81	516.25
11-36	36	11	11	Dish	R	F	1200.65	364.84	344.75
11-36	36	11	11	Tub	R	F	1411.22	418.64	414.85
11-37	37	11	11	Tub	R	F	1650.83	503.75	469.42
11-38	38	11	11	Tub	R	F	1522.65	442.4	446.24
11-39	39	11	11	Tub	R	F	1632.86	474.04	483.79
11-40	40	11	11	Tub	U	F	1614.04	485.67	444.32
11-41	41	11	11	Tub	L	F	1491.79	465.45	449.87
11-42	42	11	11	Tub	L	F	1578.68	456.76	445.18
11-42	42	11	11	Dish	R	F	1462.13	407.35	393.08
11-43	43	11	11	Tub	L	F	1495.63	451.42	430.5
11-43	43	11	11	Tub	L	F	1640.78		
11-44	44	11	11	Tub	L	F	1526.26	439.25	423.67
11-45	45	11	11	Tub	R	F	1599.93	485.36	462.07
11-46	46	11	11	Tub	U	F	1571.98	468.19	454.46
11-47	47	11	11	Tub	R	F	1559.73	445.47	449.41
11-49	49	11	11	Dish	R	F	1311.71	402.71	381.65
11-49	49	11	11	Tub	R	F	1556.37	450.87	419.12
11-50	50	11	11	Tub	L	F	1521.53	475.21	463.12
11-50	50	11	11	Tub	R	F	1551.4		
11-51	51	11	11	Dish	R	F	1537.96	501.38	461.05
11-51	51	11	11	Tub	R	F	1655.81	498.93	466.92
11-52	52	11	11	Tub	R	F	1660.33	475.56	479.02
11-53	53	11	11	Dish	R	F	1427.95	414.14	417.22
11-53	53	11	11	Tub	R	F	1484.46	453.86	416.46
11-54	54	11	11	Tub	U	F	1548.16	447.61	467.18
