Date	Time	Photo ID	Folder ID	Microscope	Mag	Scale?	Tube ID	Time point	Tub or dish	Wing	Sex	Measured by	Date time	Wing length	A-B length	B-C length	Photo ID	Measured by	Date time	Wing length	A-B length	B-C length		
14/02/2023	14:58	100-0001	Photos-24-2-23	Leica 06/021	2	Y											100-0001							
14/02/2023	14:58	100-0002	Photos-24-2-23	Leica 06/021	2		56	11	Dish	R	F	Becky	03/03/2023 15:27	1673.38	478.14	420.2	100-0002	Becky	09/03/2023	1689.48	500.2	444.76		
14/02/2023	14:58	100-0006	Photos-24-2-23	Leica 06/021	2		57	11	Dish	R	F	Becky	09/03/2023 13:35	1504.95	429.97	422.72	100-0006							
14/02/2023	14:58	100-0008	Photos-24-2-23	Leica 06/021	2		21	11	Dish	?	M	Becky	09/03/2023 13:35	1583.25			100-0008							
14/02/2023	14:58	100-0010	Photos-24-2-23	Leica 06/021	2		53	11	Dish	R	F	Becky	09/03/2023 13:35	1427.95	414.14	417.22	100-0010							
14/02/2023	14:58	100-0013	Photos-24-2-23	Leica 06/021	2		51	11	Dish	R	F	Becky	09/03/2023 13:35	1537.96	501.38	461.05	100-0013							
14/02/2023	14:58	100-0015	Photos-24-2-23	Leica 06/021	2		33	11	Dish	R	F	Becky	09/03/2023 13:35	1524.31	431.24	457.48	100-0015							
14/02/2023	14:58	100-0019	Photos-24-2-23	Leica 06/021	2		42	11	Dish	R	F	Becky	09/03/2023 13:35	1462.13	407.35	393.08	100-0019							
14/02/2023	14:58	100-0025	Photos-24-2-23	Leica 06/021	2		49	11	Dish	R	F	Becky	09/03/2023 13:35	1311.71	402.71	381.65	100-0025							
14/02/2023	14:58	100-0026	Photos-24-2-23	Leica 06/021	2		23	11	Dish	R	F	Becky	09/03/2023 18:32	1342.51	389.43	372.16	100-0026							
14/02/2023	14:58	100-0028	Photos-24-2-23	Leica 06/021	2		59	11	Dish	R	F	Becky	09/03/2023 18:32	1590.34	498.33	479.63	100-0028							
14/02/2023	14:58	100-0032	Photos-24-2-23	Leica 06/021	2		36	11	Dish	R	M	Becky	09/03/2023 18:32	1258	380.97	363.66	100-0032							
14/02/2023	14:58	100-0038	Photos-24-2-23	Leica 06/021	2		36	11	Dish	R	F	Becky	09/03/2023 18:32	1200.65	364.84	344.75	100-0038							
20/02/2023	09:29	100-0039	Photos-24-2-23	Leica 06/021	4	Y											100-0039							
20/02/2023	09:29	100-0040	Photos-24-2-23	Leica 06/021	4		47	9	Dish	L	F	Becky	09/03/2023 18:32	1715.79	499.29	480.81	100-0040							
20/02/2023	09:34	100-0041	Photos-24-2-23	Leica 06/021	4		47	9	Dish	L	M	Becky	09/03/2023 18:32	1602.35	492.68	464.56	100-0041							
20/02/2023	10:02	100-0042	Photos-24-2-23	Leica 06/021	4		53	9	Dish	R	M	Becky	09/03/2023 18:32	1603.48	487.48	465.48	100-0042							
20/02/2023	10:04	100-0043	Photos-24-2-23	Leica 06/021	4		53	9	Dish	Left (first measure) and right (second)	F	Becky	09/03/2023 18:32	1468.85	447.5	442.22	100-0043	Becky	09/03/2023 18:32	1491.41	421.72	420.44		
20/02/2023	10:15	100-0044	Photos-24-2-23	Leica 06/021	4		36	9	Dish	R	M	Becky	09/03/2023 18:32	1527.74	448.92	456.14	100-0044							
20/02/2023	10:21	100-0045	Photos-24-2-23	Leica 06/021	4		36	9	Dish	R	F	Becky	09/03/2023 18:32	1612.49	450.61	452.49	100-0045							
20/02/2023	11:59	100-0046	Photos-24-2-23	Leica 06/021	4	Y											100-0046							
20/02/2023	12:03	100-0047	Photos-24-2-23	Leica 06/021	4		21	9	Dish	?	F	Becky	09/03/2023 18:32	1548.84	452.94	454.64	100-0047							
20/02/2023	12:08	100-0048	Photos-24-2-23	Leica 06/021	4		56	9	Dish	R	F	Becky	09/03/2023 18:32	1552.34	441.27	433.47	100-0048							
20/02/2023	12:11	100-0049	Photos-24-2-23	Leica 06/021	4		54	9	Dish	R	M	Becky	09/03/2023 18:32	1687.13	503.98	507.41	100-0049							
20/02/2023	12:13	100-0050	Photos-24-2-23	Leica 06/021	4		54	9	Dish	L	F	Becky	09/03/2023 18:32	1760.51	508.63	485.55	100-0050							
20/02/2023	12:17	100-0051	Photos-24-2-23	Leica 06/021	4		43	9	Dish	R	F	Becky	09/03/2023 18:32	1722.82	517.17	506.91	100-0051							
20/02/2023	12:20	100-0052	Photos-24-2-23	Leica 06/021	4		43	9	Dish	R	M	Becky	09/03/2023 18:32	1694.18	522.17	511.49	100-0052							
20/02/2023	13:30	100-0053	Photos-24-2-23	Leica 06/021	4		52	9	Dish	R	F	Becky	09/03/2023 18:32	1463.45	428.14	404.24	100-0053							
20/02/2023	13:22	100-0054	Photos-24-2-23	Leica 06/021	4		52	9	Dish	R	M	Becky	09/03/2023 18:32	1740.45	544.83	446.97	100-0054							
20/02/2023	13?	100-0055	Photos-24-2-23	Leica 06/021	4		30	9	Dish	Left (first measure) and right (second)	F	Becky	09/03/2023 18:32	1315.33	379.54	385.97	100-0055	Becky	09/03/2023 18:32	1330.13	361.91	359.12		
20/02/2023	13:53	100-0056	Photos-24-2-23	Leica 06/021	4		20	9	Dish	R	M	Becky	09/03/2023 18:32	1415.33	424.09	416.09	100-0056							
21/02/2023	09:50	100-0058	Photos-24-2-23	Leica 06/021		Y											100-0058							
21/02/2023	09:23	100-0059	Photos-24-2-23	Leica 06/021	4		22	9	Dish	R	F	Becky	09/03/2023 20:30	1466.81	414.13	353.47	100-0059							
21/02/2023	09:53	100-0060	Photos-24-2-23	Leica 06/021	4		22	9	Dish	R	M	Becky	09/03/2023 20:30	1531.71	439.54	386.28	100-0060							
21/02/2023	10:03	100-0061	Photos-24-2-23	Leica 06/021	4		44	9	Dish	R	F	Becky	09/03/2023 20:30	1402.59	414.3	434.77	100-0061							
21/02/2023	10:10	100-0062	Photos-24-2-23	Leica 06/021	4		24	9	Dish	L	M	Becky	09/03/2023 20:30	1576.23	480.37	472.75	100-0062							
21/02/2023	10:16	100-0063	Photos-24-2-23	Leica 06/021	4		48	9	Dish	R	M	Becky	09/03/2023 20:30	1737.85	553.3	539.28	100-0063							
