Date	Tub number	Dish	Cup	Tube_number	Treatment (# females)	Block	Total	Sex	Collection method	Date/time set up	Block set up	Collected time	Hours post parasitism	
28/1 am	1	0	0	5	5	1.1	12	Males	Live	16/01/2023 10:11	############	############	12	
28/1 am	1	0	0	3	1	1.1	4	Males	Live	16/01/2023 10:06	############	############	12	
28/1 am	1	0	0	4	10	1.1	1	Males	Live	16/01/2023 10:07	############	############	12	
28/1 am	1	0	0	2	5	1.1	0	Males	Live	16/01/2023 10:02	############	############	12	
28/1 am	1	0	0	1	1	1.1	8	Males	Live	16/01/2023 09:56	############	############	12	
28/1 am	1	0	0	7	5	1.1	8	Males	Live	16/01/2023 10:30	############	############	12	
28/1 am	1	0	0	6	10	1.1	21	Males	Live	16/01/2023 10:23	############	############	12	
28/1/pm	2	0	0	4	10	1.1	2	Males	Live	16/01/2023 10:07	############	############	12.25	
28/1/pm	2	0	0	1	1	1.1	1	Males	Live	16/01/2023 09:56	############	############	12.25	
28/1/pm	2	0	0	6	10	1.1	2	Males	Live	16/01/2023 10:23	############	############	12.25	
28/1/pm	2	0	0	7	5	1.1	3	Males	Live	16/01/2023 10:30	############	############	12.25	
28/1/pm	2	0	0	5	5	1.1	6	Males	Live	16/01/2023 10:11	############	############	12.25	
28/1/pm	2	0	0	3	1	1.1	4	Males	Live	16/01/2023 10:06	############	############	12.25	
28/1/pm	2	0	0	2	5	1.1	1	Males	Live	16/01/2023 10:02	############	############	12.25	
29/1 am	3	1	0	7	5	1.1	9	Males	Dead	16/01/2023 10:30	############	############	13	
29/1 am	3	1	0	1	1	1.1	1	Males	Dead	16/01/2023 09:56	############	############	13	
29/1 am	3	1	0	6	10	1.1	4	Males	Dead	16/01/2023 10:23	############	############	13	
29/1 am	3	1	0	2	5	1.1	3	Males	Dead	16/01/2023 10:02	############	############	13	
29/1 am	3	1	0	4	10	1.1	10	Males	Dead	16/01/2023 10:07	############	############	13	
29/1 pm	3	0	1	2	5	1.1	2	Males	Dead	16/01/2023 10:02	############	############	13.25	
29/1 pm	3	0	1	6	10	1.1	1	Males	Dead	16/01/2023 10:23	############	############	13.25	
29/1 pm	3	0	1	4	10	1.1	2	Males	Dead	16/01/2023 10:07	############	############	13.25	
29/1 pm	3	0	1	3	1	1.1	0	Males	Dead	16/01/2023 10:06	############	############	13.25	
29/1 pm	3	0	1	7	5	1.1	1	Males	Dead	16/01/2023 10:30	############	############	13.25	
29/1 am	3	0	0	3	1	1.1	12	Males	Live	16/01/2023 10:06	############	############	13	
29/1 am	3	0	0	5	5	1.1	14	Males	Live	16/01/2023 10:11	############	############	13	
29/1 pm	4	1	0	6	10	1.1	1	Males	Dead	16/01/2023 10:23	############	############	13.25	
29/1 pm	4	1	0	1	1	1.1	1	Males	Dead	16/01/2023 09:56	############	############	13.25	
29/1 pm	4	1	0	5	5	1.1	2	Males	Dead	16/01/2023 10:11	############	############	13.25	
29/1 pm	4	1	0	2	5	1.1	1	Males	Dead	16/01/2023 10:02	############	############	13.25	
29/4 pm	4	1	0	4	10	1.1	1	Males	Dead	16/01/2023 10:07	############	############	13.25	
29/4 pm	4	1	0	7	5	1.1	1	Males	Dead	16/01/2023 10:30	############	############	13.25	
29/4 pm	4	1	0	3	1	1.1	1	Males	Dead	16/01/2023 10:06	############	############	13.25	
29/1 pm	4	0	1	2	5	1.1	0	Males	Live	16/01/2023 10:02	############	############	13.25	
29/1 pm	4	0	1	6	10	1.1	0	Males	Live	16/01/2023 10:23	############	############	13.25	
29/1 pm	4	0	1	4	10	1.1	0	Males	Live	16/01/2023 10:07	############	############	13.25	
29/1 pm	4	0	1	3	1	1.1	0	Males	Live	16/01/2023 10:06	############	############	13.25	
29/1 pm	4	0	1	5	5	1.1	0	Males	Live	16/01/2023 10:11	############	############	13.25	
30/1 am	5	1	0	7	5	1.1	1	Males	Dead	16/01/2023 10:30	############	############	14	
30/1 am	5	1	0	3	1	1.1	3	Males	Dead	16/01/2023 10:06	############	############	14	
30/1 am	5	1	0	4	10	1.1	3	Males	Dead	16/01/2023 10:07	############	############	14	
30/1 am	5	1	0	1	1	1.1	1	Males	Dead	16/01/2023 09:56	############	############	14	
30/1 am	5	0	0	6	10	1.1	1	Males	Live	16/01/2023 10:23	############	############	14	
30/1 am	5	0	0	2	5	1.1	3	Males	Live	16/01/2023 10:02	############	############	14	
30/1 am	5	0	0	5	5	1.1	4	Males	Live	16/01/2023 10:11	############	############	14	
30/1 am	5	0	1	3	1	1.1	2	Males	Live	16/01/2023 10:06	############	############	14	
30/1 am	5	0	1	4	10	1.1	1	Males	Live	16/01/2023 10:07	############	############	14	
30/1 am	5	0	1	1	1	1.1	0	Males	Live	16/01/2023 09:56	############	############	14	
30/1 am	5	0	1	7	5	1.1	0	Males	Live	16/01/2023 10:30	############	############	14	
30/1 pm	5	0	1	5	5	1.1	0	Males	Live	16/01/2023 10:11	############	############	14	
30/1 pm	6	0	1	1	1	1.1	1	Males	Dead	16/01/2023 09:56	############	############	14.25	
30/1 pm	6	0	1	3	1	1.1	2	Males	Dead	16/01/2023 10:06	############	############	14.25	
30/1 pm	6	0	1	4	10	1.1	0	Males	Dead	16/01/2023 10:07	############	############	14.25	
30/1 pm	6	1	0	5	5	1.1	2	Males	Live	16/01/2023 10:11	############	############	14.25	
30/1 pm	6	1	0	7	5	1.1	2	Males	Live	16/01/2023 10:30	############	############	14.25	
30/1 pm	6	1	0	4	10	1.1	0	Males	Live	16/01/2023 10:07	############	############	14.25	
30/1 pm	6	1	0	6	10	1.1	0	Males	Live	16/01/2023 10:23	############	############	14.25	
31/1 am	7	0	1	2	5	1.1	1	Males	Live	16/01/2023 10:02	############	############	15	
31/1 am	7	0	1	4	10	1.1	0	Males	Live	16/01/2023 10:07	############	############	15	
31/1 am	7	0	1	7	5	1.1	3	Males	Live	16/01/2023 10:30	############	############	15	
31/1 am	7	0	1	5	5	1.1	9	Males	Live	16/01/2023 10:11	############	############	15	
31/1 am	7	0	1	6	10	1.1	3	Males	Live	16/01/2023 10:23	############	############	15	
31/1 am	7	0	1	1	1	1.1	1	Males	Live	16/01/2023 09:56	############	############	15	
31/1 am	7	1	0	2	5	1.1	0	Males	Live	16/01/2023 10:02	############	############	15	
31/1 am	7	1	0	5	5	1.1	1	Males	Live	16/01/2023 10:11	############	############	15	
31/1 am	7	1	0	6	10	1.1	1	Males	Live	16/01/2023 10:23	############	############	15	
31/1 pm	8	0	1	5	5	1.1	0	Males	Live	16/01/2023 10:11	############	############	15.25	
31/1 pm	8	0	1	1	1	1.1	0	Males	Live	16/01/2023 09:56	############	############	15.25	
