Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
1-10	10	1	1	Live	U	M	1628.249	485.004	463.738
1-11	11	1	1	Live	L	M	1768.492	564.483	474.912
1-12	12	1	1	Live	R	M	1715.002	524.487	476.149
1-2	2	1	1	Live	U	M	1674.31	495.749	522.152
1-2	2	1	1	Live	U	M	1691.491	486.438	527.123
1-28	28	1	1	Live	L	M	1666.905	516.406	536.04
1-29	29	1	1	Live	R	M	1640.253	487.591	516.311
1-3	3	1	1	Live	L	M	1464.087	463.826	447.373
1-30	30	1	1	Live	L	M	1781.801	537.563	529.697
1-30	30	1	1	Live	L	M	1805.935	513.399	525.25
1-5	5	1	1	Live	L	M	1533.407	482.241	515.842
1-6	6	1	1	Live	L	M	1488.799	464.918	443.511
1-7	7	1	1	Live	U	M	1580.507	502.8	496.527
1-7	7	1	1	Live	U	M	1620.926	509.62	494.02
1-9	9	1	1	Live	L	M	1718.206	527.466	536.986
10-12	12	10	10	Cups	R	M	1456.21	479.06	439.302
10-14	14	10	10	Cups	L	M	1276.892	391.47	309.626
10-18	18	10	10	Cups	R	M	1656.979	503.081	513.063
10-29	29	10	10	Cups	U	M	1324.527	424.439	434.6
10-37	37	10	10	Cups	U	M	1751.351	541.57	446.048
10-45	45	10	10	Cups	R	M	1475.278	442.745	389.232
10-46	46	10	10	Cups	L	M	1554.455	482.919	472.119
10-50	50	10	10	Cups	R	M	1734.194	537.982	539.598
10-51	51	10	10	Cups	R	M	1422.036	435.775	382.638
10-54	54	10	10	Cups	U	M	1688.788	507.689	427.15
10-54	54	10	10	Cups	U	M	1613.827	496.166	460.285
10-9	9	10	10	Cups	U	M	1565.169	461.327	451.037
11-15	15	11	11	Tub	R	M	1246.71	387	369.92
11-17	17	11	11	Tub	R	M	1372.23	397.42	361.08
11-18	18	11	11	Tub	L	M	1634.16	473.32	480.96
11-18	18	11	11	Tub	U	M	1695.04	499.77	485.26
11-20	20	11	11	Tub	U	M	1409.09	400.54	423.46
11-20	20	11	11	Tub	U	M	1349.88	412.3	334.76
11-21	21	11	11	Tub	R	M	1567.16	483.97	474.33
11-21	21	11	11	Dish	U	M	1583.25		
11-23	23	11	11	Tub	R	M	1691.31	534.34	511.91
11-23	23	11	11	Tub	U	M	1378.06	436.13	419.22
11-23	23	11	11	Tub	U	M	1368.23	426.85	425.69
11-26	26	11	11	Tub	U	M	1700.96	501.5	509.25
11-26	26	11	11	Tub	U	M	1695.02	517.51	525.39
11-29	29	11	11	Tub	R	M	1594.63	485.89	466.87
11-31	31	11	11	Tub	L	M	1479.39	476.07	450.05
11-32	32	11	11	Tub	R	M	1580.59	506.19	462.87
11-33	33	11	11	Tub	L	M	1590.76	475.51	443.13
11-35	35	11	11	Tub	L	M	1565.39	499.08	492.24
11-36	36	11	11	Tub	L	M	1269.2	358.76	376.59
11-36	36	11	11	Dish	R	M	1258	380.97	363.66
11-37	37	11	11	Tub	R	M	1559.41	494.38	488.36
11-38	38	11	11	Tub	R	M	1564.73	485.28	404.43
11-39	39	11	11	Tub	L	M	1477.13	436.25	371.25
11-41	41	11	11	Tub	R	M	1571.85	463.94	440.01
11-42	42	11	11	Tub	L	M	1620.7	488.33	488.53
11-43	43	11	11	Tub	R	M	1717.8	499.39	483.6
11-43	43	11	11	Tub	U	M	1498.68	496.25	484.65
11-43	43	11	11	Tub	U	M	1596.18	487.09	475.93
11-44	44	11	11	Tub	U	M	1675.41	524.22	544.2
11-44	44	11	11	Tub	U	M	1673.69	511.74	523.82
11-45	45	11	11	Tub	R	M	1550.77	508.79	502.23
11-47	47	11	11	Tub	L	M	1604.69	538.91	477.7
11-49	49	11	11	Tub	R	M	1489.97	428.03	430.66
11-50	50	11	11	Tub	R	M	1722.49	538.69	518.02
11-52	52	11	11	Tub	U	M	1810.67	563.69	556.86
11-54	54	11	11	Tub	L	M	1589.73	491.46	493.52
11-56	56	11	11	Tub	R	M	1674.06	515.45	481.79
11-57	57	11	11	Tub	R	M	1497.39	460.48	443.8
11-58	58	11	11	Tub	L	M	1515.46		
11-59	59	11	11	Tub	L	M	1635.24	503.84	515.48
