Tube-tub	Tub ID	Tub number	Dish	Cup	Tube_number	Treatment (# females)	Block	Males	Females	Date/time set up	Date time setup	Date time emerged	Days pp	Days pp		
9-9	9	9 (cups)	0	1	9	10	1.2	15	11	16/01/2023 16:28	16/01/2023 17:00	01/02/2023 10:00	15.7	15.5		
9-7	9	9 (cups)	0	1	7	5	1.1	4	6	16/01/2023 10:30	16/01/2023 10:00	01/02/2023 10:00	16	16		
9-7	9	9 (dishes)	1	0	7	5	1.1	0	2	16/01/2023 10:30	16/01/2023 10:00	01/02/2023 10:00	16	16		
9-6	9	9 (cups)	0	1	6	10	1.1	0	1	16/01/2023 10:23	16/01/2023 10:00	01/02/2023 10:00	16	16		
9-6	9	9 (cups)	0	1	6	10	1.1	2	8	16/01/2023 10:23	16/01/2023 10:00	01/02/2023 10:00	16	16		
9-59	9	9 (cups)	0	1	59	5	3.2	4	4	18/01/2023 16:16	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-58	9	9 (dishes)	1	0	58	1	3.2	0	1	18/01/2023 16:05	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-57	9	9 (dishes)	1	0	57	10	3.2	3	2	18/01/2023 16:01	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-56	9	9 (cups)	0	1	56	5	3.2	12	6	18/01/2023 15:59	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-56	9	9 (dishes)	1	0	56	5	3.2	0	6	18/01/2023 15:59	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-54	9	9 (cups)	0	1	54	10	3.2	5	6	18/01/2023 15:48	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-54	9	9 (dishes)	1	0	54	10	3.2	2	6	18/01/2023 15:48	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-53	9	9 (cups)	0	1	53	5	3.2	4	5	18/01/2023 15:39	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-53	9	9 (dishes)	1	0	53	5	3.2	2	8	18/01/2023 15:39	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-52	9	9 (cups)	0	1	52	1	3.2	6	4	18/01/2023 15:33	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-52	9	9 (dishes)	1	0	52	1	3.2	3	5	18/01/2023 15:33	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-51	9	9 (cups)	0	1	51	10	3.2	3	6	18/01/2023 15:49	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-51	9	9 (dishes)	1	0	51	10	3.2	3	0	18/01/2023 15:49	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-50	9	9 (cups)	0	1	50	5	3.2	8	14	18/01/2023 15:31	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-50	9	9 (dishes)	1	0	50	5	3.2	4	15	18/01/2023 15:31	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-5	9	9 (cups)	0	1	5	5	1.1	0	4	16/01/2023 10:11	16/01/2023 10:00	01/02/2023 10:00	16	16		
9-5	9	9 (cups)	0	1	5	5	1.1	13	6	16/01/2023 10:11	16/01/2023 10:00	01/02/2023 10:00	16	16		
9-49	9	9 (cups)	0	1	49	1	3.2	3	10	18/01/2023 15:28	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-49	9	9 (dishes)	1	0	49	1	3.2	0	12	18/01/2023 15:28	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-48	9	9 (cups)	0	1	48	10	3.2	0	2	18/01/2023 15:24	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-48	9	9 (dishes)	1	0	48	10	3.2	3	0	18/01/2023 15:24	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-47	9	9 (cups)	0	1	47	5	3.2	6	5	18/01/2023 15:24	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-47	9	9 (dishes)	1	0	47	5	3.2	2	6	18/01/2023 15:24	18/01/2023 17:00	01/02/2023 10:00	13.7	13.5		
9-46	9	9 (cups)	0	1	46	1	3.1	1	9	18/01/2023 09:20	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-45	9	9 (cups)	0	1	45	10	3.1	9	9	18/01/2023 09:17	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-44	9	9 (cups)	0	1	44	5	3.1	2	6	18/01/2023 09:20	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-44	9	9 (dishes)	1	0	44	5	3.1	0	7	18/01/2023 09:20	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-43	9	9 (cups)	0	1	43	1	3.1	5	9	18/01/2023 09:06	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-43	9	9 (dishes)	1	0	43	1	3.1	2	7	18/01/2023 09:06	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-42	9	9 (cups)	0	1	42	10	3.1	4	7	18/01/2023 09:05	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-41	9	9 (cups)	0	1	41	5	3.1	6	5	18/01/2023 08:55	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-39	9	9 (cups)	0	1	39	10	3.1	0	6	18/01/2023 08:46	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-39	9	9 (dishes)	1	0	39	10	3.1	0	2	18/01/2023 08:46	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-38	9	9 (cups)	0	1	38	5	3.1	1	1	18/01/2023 08:38	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-38	9	9 (dishes)	1	0	38	5	3.1	5	3	18/01/2023 08:38	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-37	9	9 (cups)	0	1	37	1	3.1	7	19	18/01/2023 08:35	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-37	9	9 (dishes)	1	0	37	1	3.1	0	1	18/01/2023 08:35	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-36	9	9 (cups)	0	1	36	10	3.1	3	8	18/01/2023 09:00	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-36	9	9 (dishes)	1	0	36	10	3.1	1	3	18/01/2023 09:00	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-35	9	9 (cups)	0	1	35	5	3.1	0	3	18/01/2023 08:42	18/01/2023 10:00	01/02/2023 10:00	14	14		
9-34	9	9 (cups)	0	1	34	1	2.2	0	1	17/01/2023 17:05	17/01/2023 17:00	01/02/2023 10:00	14.7	14.5		
